summoner,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Blxckqueenxx3,0,883,137,0,0,0,7103,0,1312,0,0,0,0,0,0,7385,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,195,0,0,0,2745,0,1575,0,0,0,0,3215,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,123,0,0,10252,0,0,0,0,0,22053,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,166,0,0,15545,0,0,0,0,0,0,0,0,0,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15619,0,0,0,0,194,0
Illuminamí,0,47069,5763,10873,150,1525,6742,0,7806,3141,0,0,550,2976,5216,21649,4111,1722,1704,0,2971,6311,0,1032,943,1671,4259,569,0,2901,0,0,245,3141,0,0,2098,0,890,5121,4862,860,55386,0,153,1341,154,8967,864,967,15062,0,0,313,2372,747,0,0,0,0,0,9563,708,20768,0,3267,0,50470,12291,0,0,244,1416,10737,0,23017,404860,0,0,1259,1292,1118,0,0,16274,0,113,1943,119,18152,3975,260,145,0,133,240,6103,0,0,2684,135,0,0,0,2339,0,0,6463,0,40522,56186,335,0,9762,3342,485,1030,5004,128,8418,3565,0,270,0,0,120,255,0,11318,0,0,11518,0,0,0,0,159,3972,0,0,0,0,0,1692,146,326,0,0,2665,8457
TanteLinchen,0,1216,695,0,0,0,221,0,4711,0,0,0,0,0,800,12865,0,0,0,0,116,0,0,0,0,137,1123,21634,129,2186,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,7838,0,0,0,0,0,2324,0,0,13085,0,0,1120,18634,0,0,0,631,2496,0,3728,9051,0,0,19634,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10282,0,4048,13227,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,0,7153,0,0,0,0,0,13350,0,580,0,0,14165,0
Arrgon,0,2913,2157,0,695,0,0,0,10613,1952,3090,0,0,3845,124,50220,0,979,1035,0,1098,2885,0,301,823,714,1624,916,514,101,137,0,143,1458,89,0,508,671,0,0,1246,75,0,86,847,180,2360,94,119,4479,79,4458,188,1837,12920,0,519,381,1373,92,1044,860,0,1258,0,1013,88,0,717,784,768,115,10132,9460,8159,1354,1474,6245,1215,0,94,5241,1551,0,0,202,3477,2743,5646,1213,13202,1564,0,4193,609,883,778,0,894,0,7111,10928,116,1762,133,798,0,887,0,113,210,12045,132,0,733,776,5726,1205,5346,3624,575,0,822,260,5666,0,1271,2051,1861,8025,901,709,1198,1112,0,3685,130,3766,0,648,595,0,126,310,0,2150,0,0,81,0
ERMEJOL,0,4150,0,0,1415,0,0,0,329,0,0,0,1363,0,103,589,0,0,4096,0,2432,0,2079,0,0,0,3882,0,0,486,713,0,0,6540,0,0,0,96,1056,0,152,0,994,132,123,0,128,0,0,1004,8114,0,977,0,1291,183,0,1575,0,0,0,0,2066,391,0,0,6103,11706,2168,637,0,0,191,680,0,824,0,659,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,724,0,1784,0,0,77,6679,2761,0,739,0,619,0,0,2326,0,0,0,1865,0,0,0,1322,10440,501,0,0,0,1315,0,0,0,3057,0,138,0,0,11487,2377,6078,0,0,0,0,3684,0,0,0,0,24318,0,0,0,0
60I09,0,0,0,0,136,0,142,0,3518,0,0,0,0,0,0,38594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13186,0,0,51431,0,0,0,0,0,0,598,1890,0,23819,0,0,0,0,0,0,0,0,45723,0,0,0,0,0,17641,803,0,0,165,96,0,0,0,808,163,0,0,0,493,0,0,196,726,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,228,392,0,0,0,0,0,0,0,0,1120,0,0,0,2521,0,0,0,161,0,0,4332,9315,0,0,0,0,0,0,136,0,167,0,5170,0,0,0,0,0,0,0,0,0,0
Ek Fok Jou Op,14524,25716,32429,29606,13106,32131,27153,6668,40926,32671,11978,16094,45031,24321,17184,25726,8812,13484,14471,20763,74240,11521,23319,30338,65404,6593,4157,23904,52663,25516,16592,31777,28873,108566,8124,8378,51296,1347,51168,42386,6840,13556,30175,7779,19515,37629,46415,57191,12725,24111,28088,14084,13871,13726,14073,17723,64070,6837,8594,4027,12005,18926,17755,20305,6105,7707,31241,21679,33627,50220,67630,20261,117667,68314,37586,26951,28122,49173,40495,18676,22762,6201,25543,43916,5902,10807,8129,18506,12836,2811,11435,8812,19437,2729,36959,2254,11195,4818,12554,14412,4805,6627,43483,42353,25521,53988,60932,24621,14439,46125,17106,27662,11393,3625,3273,23617,17648,18269,104765,14228,32724,16671,49522,28765,19288,14468,34714,19855,6132,23415,30870,65935,7804,10049,40009,29527,33812,4981,45175,18563,255889,1260,91674,1431,24688,28787,44008,17517,6170,25289
StickyFingers97,197,0,0,751,0,0,0,0,242,0,0,0,0,0,0,4589,0,0,514,982,105,4133,0,0,0,0,1685,1198,193,0,0,0,141,0,0,129,104,0,0,597,363,0,0,0,2098,0,192,202,1172,1316,0,0,0,70,208,2278,0,0,0,0,136,1176,0,866,0,280,161,0,0,0,688,0,124,126,1405,1883,0,0,1190,764,119,765,0,0,0,0,8456,0,2794,0,4041,0,0,0,151,0,1956,0,1831,175,0,0,0,1268,0,0,615,0,720,0,0,0,775,1057,149,702,0,0,0,135,155,0,681,0,1022,0,1570,0,203,0,118,120,0,0,0,0,169,105,0,7233,0,0,0,0,0,0,494,1081,0,0
FAIRWEATHERRIDE,199,2884,2518,2179,8311,490,3234,1776,6298,0,336,2160,16135,12049,335,11775,0,149,3173,124,25163,5002,5160,16693,2858,160,3709,44808,3058,0,22991,2876,116,22365,94,317,2463,135,5123,850,1335,0,0,1086,24646,5081,17179,6939,3106,595,1864,7598,5695,953,1346,7637,0,2979,3904,2208,312,2994,25392,6075,0,2938,6257,171,13598,51556,374,2610,20511,18516,13493,14538,634,4065,7785,10873,221,4328,826,3144,0,0,15051,1053,3155,1751,1853,0,3026,0,104,5391,1093,1521,8059,0,17364,8609,49003,695,2294,3090,2254,2919,138,4274,1376,5655,1099,145,0,692,3903,0,68077,12155,21950,5306,1512,8740,25950,6135,4825,5365,5322,12487,14002,662,0,4204,16183,10177,5501,4411,16362,2336,25030,0,175,1052,1705,28515,4283,1701,159,4386
Ale Raptor,0,547,851,0,0,1023,206,0,2736,0,696,0,0,0,2475,7344,0,0,0,0,0,0,119,646,0,0,0,0,1570,107,0,970,159,2039,0,0,743,0,50242,1013,4622,0,0,82,1146,0,534,0,155,0,0,112,85,99,0,5364,0,812,0,0,0,2672,104,0,0,0,696,0,1871,1008,0,0,4087,1516,758,8449,0,14029,895,99537,763,0,19225,2086,140,0,0,0,0,0,0,0,0,0,0,0,0,0,223,95,4636,0,0,0,253,0,618,108,0,130,3120,124,3419,0,0,0,0,0,5729,0,0,0,0,0,0,0,0,117,103,44869,278,0,157,106,105,0,0,1367,0,0,5840,1292,0,1149,1563,1013,87,0,557,0
sueko27,0,0,0,0,1192,0,34198,0,13687,0,0,0,1821,0,0,0,0,0,1136,0,32249,0,0,0,0,0,0,0,0,0,693,0,0,962,149,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,241,134,0,0,0,0,302205,0,0,0,0,0,0,139,0,0,0,0,212,124,0,0,0,0,2791,0,0,0,96,0,0,0,581,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,1354,892326,0,0,0,0,0,1824,0,0,0,0,8067,0,0,0,125,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
davsukko,1743,0,0,0,0,0,0,0,1833,147,350,118,13497,0,98,0,0,885,85,0,1021,0,0,0,0,0,0,0,133,0,0,0,157,0,0,0,144,0,5475,1251,0,0,0,0,85,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,1914,0,0,175,406,890,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,120,0,0,0,0,0,0,0,0,0,0,0,0,0
