summoner,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Mandelion,3374,5502,4743,6833,12782,4174,12382,855,2446,7735,7073,5253,22233,196424,3736,65175,4029,1137,66268,12308,39797,6688,3489,6226,100622,789,9497,101146,17066,4405,6891,32452,65817,15447,3463,16593,13406,2894,11565,55863,3570,10739,3257,12080,16349,1322,60831,5382,11850,0,3914,13681,3748,10165,8480,23176,3125,12324,9263,113435,14167,10020,26954,2887,1793,6293,11919,1173,94241,10262,28082,7125,7879,14603,14624,22491,0,17556,1489,22447,32003,485,36911,6945,54334,72534,31703,25266,53745,18437,17658,9181,2681,5260,3509,1744,2383,5770,3122,1240,11944,2150,62984,2333,84934,4581,79863,2152,2204,7533,3594,69308,65351,14919,6231,27845,22971,7651,22485,5165,3503,5361,5193,10675,6585,2829,38949,9117,7846,69355,8658,3361,6920,3554,27845,5793,4088,494,5031,2300,8027,0,3521,1968,9359,38254,33295,260946,25082,7667
NostàroiCaphalor,5746,45956,249,17628,11973,2221,59095,0,3552,859,1252,1368,15695,54505,40216,7385,1342,3118,26431,3725,5624,3097,21759,829,4190,428302,3012,12121,71879,1249,3197,21263,3434,5934,1918,15724,32838,8253,3451,12091,3224,115914,53386,16280,4516,1248,9096,14454,4092,168,32467,6859,8079,163,53342,12213,12345,9897,55158,1158,4631,1507,1290,75040,181,4727,1039,21328,8412,20668,5248,24281,25426,5469,2877,37344,9826,1716,183463,774,1134,86243,15105,18561,1202,1490,55626,19519,6948,6670,1043,2035,28013,16243,213,1682,995,3734,3246,44728,297,1154,745167,60699,16130,1381,2514,8097,10567,2745,20803,22099,263,2376,8238,2093,1633,5000,14021,11384,8398,91066,2878,1508,3968,21481,6774,26460,3117,5840,6206,63362,390,8938,60927,45209,264854,2216,4427,23948,422,0,2258,150,20326,160,7463,3323,243,3185
RiftLurker,4146,95507,19794,24849,13790,48370,15485,7531,52714,50026,18712,56986,29911,13415,16632,65360,16468,731486,48937,55974,4271,38757,17182,35485,99892,14446,18488,51852,24026,29939,11605,21257,20400,8200,34680,17338,8933,34768,7692,5159,41956,15207,26376,8308,8389,33014,25266,63001,67257,56894,22600,29753,15021,43738,22111,6171,28761,3115,8769,11053,28345,44517,90951,17219,275,22331,50549,67708,34979,9018,11043,16910,18637,34823,15526,16050,16980,6108,27476,37995,24701,28767,30509,16108,73997,8256,4574,66422,30033,2456,21690,18333,29706,13224,29818,12564,41087,56112,49015,2705,5171,201,37794,96598,19532,78421,8511,59788,3771,11667,37254,16887,20311,43594,13225,48330,4822,5077,27571,84541,69881,11359,1935,81034,29805,11175,8437,38231,36914,14373,13143,4697,22515,50997,4603,15246,5998,22113,20316,1799,59117,0,7953,2212,17124,55160,38661,52995,24236,39808
SimonDeen360,15075,13473,11938,71794,7453,9348,7369,4088,59983,3452,9084,97833,297554,28922,95645,183502,3817,17172,17001,22822,124323,8266,14330,45542,10857,5321,9955,82352,18929,23295,13460,50985,138146,31835,15589,47504,55104,50108,3720,17081,13890,30343,151888,19370,22162,18771,126526,38011,54262,9440,25438,18305,6077,33048,14541,24363,7823,10421,14953,8147,41537,22240,111321,47623,2413,1605,132729,23553,38729,22632,9862,17406,33342,35882,18602,122278,19701,50378,20436,5270,38848,2032,23235,28510,13416,25496,10884,28361,26675,0,6552,95108,15042,30298,12704,34016,14303,37120,17001,36941,15413,10762,80437,15179,10026,27852,53600,56328,10194,29108,58831,23020,2050,7418,24380,5423,7870,22482,17322,585562,25607,23033,20407,47464,67020,2392,22810,40903,98079,15575,8552,13403,56896,12193,11095,18302,3190,14905,15644,64270,66512,0,10703,7973,32292,18380,34883,6489,5530,24421
Lateox,3025,21071,3993,5191,1272,4086,3561,22132,22324,4510,33510,79441,14598,9297,8165,58027,5125,15237,2758,18052,5817,3542,313,16239,15377,10100,2444,64863,3559,7300,6006,10661,7341,928,8822,12293,20388,2566,4469,390,10626,3929,12873,4232,2839,5972,64035,37486,32719,20427,12014,4991,4799,14862,4208,2328,4796,7842,3610,532,17539,14062,19093,2964,0,10709,158386,14694,13085,1207,5338,6552,1384,19176,98,12865,18561,2580,2007,4649,12421,4810,3416,1758,27975,5374,2681,5994,5494,186,3419,17694,1152,3192,4826,4223,22110,8279,9439,3063,3829,737,3682,4923,800,909,1700,16787,4597,4992,3265,3922,5777,75610,8094,21225,2835,16764,3711,227469,21697,833,1622,16571,19595,0,3449,21706,110981,4986,8155,3049,22336,13944,2607,834,2401,22115,7476,3615,6932,0,1066,2897,8283,8991,6440,16022,17173,11000
BW Vypern,0,1854,0,22942,30852,973,108,0,5529,0,212,165573,21347,1746,67306,10339,0,0,902,0,2843,3586,10217,767,1944,631,0,4121,811,41240,136,785,11862,908,32261,4449,5596,0,0,0,614,0,48938,2830,2381,524,953,3609,101,4481,8379,0,1063,2219,0,0,5441,2943,1177,3066,0,6938,26482,16513,0,0,42777,3067,2535,0,0,0,0,9774,0,55726,21041,1202,2435,0,0,0,0,0,157,0,0,31417,4399,0,0,1657,1210,2326,1720,186,27104,0,982,255,0,0,0,51490,4949,0,1639,351,0,167,34020,168,0,0,33189,96,1042,14828,953,197271,8751,12668,1372,192,0,0,175,0,4809,1301,1558,261,0,3377,787,0,1016,0,3218,3077,2326,0,0,0,9703,28522,0,2237,0,49434
KRILLINNOKOTOKA,1174,0,0,0,0,0,0,183,0,0,0,0,0,0,0,168,4880,1558,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,2526,0,0,1525,0,0,0,0,0,751,0,0,0,0,0,0,0,0,152,0,0,0,997,0,0,9895,185,0,535,0,23853,1053,0,0,11260,131,0,0,1172,0,898,0,779,0,0,0,0,0,0,161,0,0,188,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,1666,0,0,0,0,0,0,0,9429,0,0,0,0,0,0,1290,0,0,193,0,0,0,0,0,0,0,0,0,116,129,0,5288,0,3110,970,0,0,0,0,0,0,0,0,0,0,0,0
Chadlad69,58774,3133,1776,117,8170,2890,13936,123,14307,1574,0,579,7305,20317,72,239,12186,1311,9367,716,24245,48949,17272,0,3982,153,0,16837,17278,2563,1172,5265,1556,96647,33283,1674,1551,2868,15241,26103,5474,0,3901,1096,7319,43704,6387,728,948,100,4295,658,964,17646,0,0,22943,0,0,201,1047,1813,1377,3756,0,24385,1906,853,22713,27895,20317,20701,3983,22268,111595,9613,2944,4266,4145,1379,357,1212,0,4659,1015,1805,1161,2865,0,0,36748,3279,1268,249,2607,0,2374,32901,0,655,0,28458,9595,3586,1260,45971,10891,17225,807,4887,2941,58764,2256,1884,574,2007,1808,1589,24903,1768,1918,236,2956,2546,2355,4753,24304,13018,1537,7904,4362,0,0,182841,25430,0,9540,2514,768,607,4791,0,10503,0,899,822,8503,1030,131,2302
MartinoPunto,7947,1124,122,8052,11056,2714,5697,0,3754,219,1471,1405,5343,2564,16747,21370,0,0,2535,977,1318,6291,13352,744,0,0,0,2799,1796,0,0,2441,0,13689,1785,0,1355,0,15254,0,0,79,5096,3230,543,1167,0,16082,144,261,3647,5913,457,107,102,0,0,0,0,0,0,0,10049,21980,0,0,6640,3023,5814,5069,0,4150,3354,2177,4279,28606,3773,42433,4043,0,3556,5353,968,3041,715,0,8548,102,0,0,85,0,2003,0,1892,107,1255,0,0,97,0,0,7936,3227,5963,1932,212,8237,0,6555,1667,0,0,0,0,110,0,2807,6800,35709,10404,0,1407,2280,4965,0,101,1757,225,0,2157,679,123,1248,3668,0,0,169,9302,1703,3212,0,0,1215,3047,6665,0,733,1694,401
Samï,20287,20914,884,45140,5335,18441,8205,746,15181,5278,28728,132041,53400,13112,6962,61620,2223,28308,20432,56979,5399,6686,36998,90546,3226,120332,3569,220188,8445,2694,28535,6681,28763,3933,17309,67847,17720,37911,20115,8924,6636,5409,4875,21697,1781,16990,117125,27069,22354,17562,13074,24150,28922,4428,12405,14265,11462,94438,5096,2603,31725,5008,112434,5943,336,4849,64896,43640,21970,22106,10760,28142,401,4946,938,29900,41891,20856,23965,7077,57509,3029,4708,9122,46341,2024,6306,6222,8161,868,4581,3958,5606,4177,32994,4437,5856,134704,25884,7381,12504,0,3849,7022,5446,5473,9640,18642,1884,1097,4388,2296,126,31934,7347,7673,4768,9873,10580,121944,16465,4962,513,7339,27820,12998,17093,123271,23195,31911,36367,6410,94586,4961,10739,6463,3767,23748,30275,4659,629,0,35792,2027,17564,36611,36524,16478,3701,8902
