,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Aatrox,0.0,2.365430093189794,1.7400860516647603,2.2757952465729017,2.1526790329903265,2.114944177127554,2.0544365393557866,2.0739109228173387,1.990543244848932,1.7863515047295362,1.8075247091454918,2.2995066850639825,2.1231968839241087,2.096844203016514,2.3629597491807908,2.244965639770092,1.6297166328409587,2.1069593018803827,1.8189968568522652,2.007615294263757,1.588833260674693,2.1452711413785828,1.85411853349602,1.9721286439699393,1.8072305221424494,2.17257718612,2.04325625147523,1.9348466261227046,1.959879144303192,1.7199437476704587,1.9959976099983843,1.7488293317780135,1.7503581090687048,1.8351690787216985,1.8521495992661348,1.9922264795934055,1.8558946859667533,1.84115046979638,2.149804776023008,1.889354945930188,1.7152871312387663,2.028844950985369,2.8539139997251537,1.894796269584734,1.6882410039637163,1.7598599089017741,1.910804350335008,2.3275235206335334,2.2361211638487157,2.0719347571510274,2.3595561654983594,1.7809504261567124,1.767346926330346,2.1140997242446384,1.6407243683931407,1.831854699535747,1.8847138442463243,1.9040970266021227,1.9654206823575775,1.6307480430754073,2.0595869254072108,2.201303470699223,2.123752000899332,2.5484715960078668,1.9147965381445182,2.0523320020675158,1.9484223804384266,2.7279847900191463,2.3749405770259915,1.8904164344914167,2.2235218408010806,1.963890875609867,1.848597243918262,2.2795042710321853,1.4752363145069345,2.404568978334014,3.0506482538363437,1.8020200537283204,2.2190346106345995,2.2948043872835346,2.060476045831737,1.9439199180419136,1.8094120613216493,1.7577749739715909,2.3905740555232957,1.7044052210123726,1.6129684012023875,1.8677317460381162,1.878814778627742,1.9557929842545356,2.075416175792186,2.5135811261168697,2.0401318487074387,1.8215581166721773,1.7098001220808519,1.8397883434016962,1.866733780631618,1.8442993281790807,1.6345858256160193,2.1588968354736613,2.482147087827284,1.8524798720128448,2.123940110621291,1.9303054506744037,1.9604322147762998,1.8529167299096623,1.6523526699528173,2.0316958482654286,1.9335658203973733,2.7750288898714692,2.468150044316524,1.868125879903862,1.68899531751262,2.191279842639665,2.0701735656915083,1.905089382217448,1.8528847793714025,2.3065286517404027,2.3754063939738383,2.213258527183336,2.1798328680773085,1.930233542475383,1.8780580883241402,1.832131164013979,1.8948671150615954,1.9875538432269446,1.6759021324656913,1.884783267137939,2.1236081477982727,1.9801028317562241,2.0759477902475894,2.151834457100562,1.9710218696977542,1.6557091906801562,1.984929861528866,1.981009648118657,1.875740358845744,2.2326740684446693,2.0728997985818016,1.9640393444397648,1.8797130308897627,1.7114023596284518,1.8010010050474088,2.660508113512222,1.9768522498618342,1.9491523461008688,2.21214144690538,2.2436712481023724,2.066503625300435,2.627147363900842
Ahri,2.365430093189794,0.0,1.7469237493401573,2.2379241504060743,1.8764572030180764,1.6244504049450625,1.4332366984029103,2.358653886162071,1.535698631787184,1.7913515212316455,1.7948735261135895,2.0066688620739535,1.8187466302488715,1.6768389307387286,2.192436446083692,1.5008895871158865,2.1405186246799266,1.6065090075926038,2.050899623272006,1.7320726251971752,2.2544021993703924,1.7262694639588447,2.2041469618447564,2.122737395701016,1.7711607382110253,1.8943564323804154,1.8309309139346879,1.5278050048577707,1.883596330630068,1.9487173862364475,1.7289538293671993,1.9910583876703247,2.167102399298758,2.3068017276522466,1.994701043109562,2.0103778612015466,1.972695474806852,2.2065833235028403,1.9925519815004267,2.2618568559579337,1.740298899979584,2.1669707891211227,1.950802447186997,2.1172864340105906,2.2165677215052333,1.9348882798062765,1.872100264469115,1.6253905870281231,2.087263537305245,1.842757454634657,1.667277949374623,1.7682985294090732,1.8535603812338337,1.669069528570491,1.7631231685611255,2.491758329020748,1.7428209455479584,2.1880780764594174,1.8941493156838496,2.3485179280255633,1.8996548757897953,1.4878679823989707,2.139808662254632,1.9571549131806782,1.9534386965254291,1.5293405854491302,1.7407295188393066,1.8970281283422754,1.3715755756968226,1.9354463165701197,1.9369432185074793,2.034336499341847,2.209052752226664,1.6869211230284993,2.3728431857114605,1.569740093331114,2.1243274759302135,2.2157003707846794,2.214780976819306,1.9005968864087035,1.5642545152484468,2.224106603162001,2.04563589260908,2.24608773985542,1.4011182249407044,2.4538824102195402,2.1531956479739227,1.9544007358375313,2.21465543638552,2.055510466963843,1.8939425554438873,2.2538761506871055,2.2274586274117314,2.224301466634936,2.3375963672263205,2.249737669431765,1.8306702597105948,1.973402457477527,1.8068771746125096,2.163921665583955,2.4148959253850535,2.7344318729152555,2.1778325306999435,2.3122954493848105,2.0156728359761766,2.2218059363631317,2.330315131561763,1.5566101185632926,2.314029140693198,2.023261772154767,1.935485867677168,2.151082944774827,2.267140890618944,1.4030576685976566,2.22025451742511,1.613400558737879,2.0085800601558454,2.3437964824976674,2.1718859136510638,1.8970273240092503,1.7693642886077274,2.4361329975714487,2.4958793806450714,1.5864090414996828,1.832712445991495,2.429325912049878,2.3911569234080443,1.6933208548327034,1.729747994781097,1.7054488460995216,1.721627253546949,2.0169740078386775,1.8439675628802032,1.861878034505616,2.520797952134822,2.4006903097423784,2.119644275632502,1.7575491973924555,1.718784954224776,2.3406480102547653,2.150912502948529,1.7924824452735146,2.46621212451525,2.3316362519598544,2.2230954994542285,1.961817797085633,1.6713760346338182,1.9068008105855792,1.6870868092218982,1.868277404208413
Akali,1.7400860516647603,1.7469237493401573,0.0,2.482327114964288,2.1162977622404457,2.0147014277066186,1.7655903482816946,2.0338133005496255,1.81303475945261,1.8705275685839804,1.781078842623045,2.342396240420243,2.147552364753326,2.103890629039743,2.6218227538771974,1.9632058566112613,1.7315734518985169,1.7934854491751775,2.0968585151664807,2.0061223391932774,1.9495519759923294,1.7068721335172938,2.189339675483053,1.9515526541803188,1.5972979591248782,2.1160667489332057,1.6547553132611128,1.7211891835601902,2.0202776860322817,1.612791196968728,1.6811739820136078,2.0010471831342636,1.9676081356212878,2.084504234209356,2.0512129337350524,2.1329676757444704,2.0362216811134624,2.1268528403477354,2.1422616247387403,2.134539901853323,1.359781965882528,2.199697090888486,2.6641794694425416,2.2181973750033674,1.8294847452932745,1.950754475774153,1.8818779742307634,2.0457340553644676,1.9777189279904754,1.9072129531715545,2.1737117733993756,1.8764477984552728,1.6696278389240777,1.3674455756681263,1.6049601433420486,1.8805586108191505,1.8352877056063968,1.9331707395139666,1.8890016708219937,1.9886756985194196,2.117444806223412,1.5812629190360399,1.971727617320059,2.5247571325076184,1.8502710649739305,1.9576235493763507,1.8762378091502996,2.5714851750339567,1.9568412061217177,2.0525192578481923,2.29102578805524,2.2784660219473096,1.8240374270651496,2.0763549602706792,1.873128115664527,2.1858428147644187,2.906361826012689,2.0206821845761,2.560020849187968,1.9905916418785192,1.7220371199139477,2.130924399593287,1.917198983912666,2.080896202899443,1.9703935872825071,2.2339186336701635,1.8976448244534412,1.9157892154451712,1.8636119711452708,1.6079020953250207,1.9456513983262016,2.4306349404380834,2.2306647610970947,2.1259655123979693,2.110167066706532,1.852944277467927,1.5557761315074436,2.088509555591152,1.569724942463311,2.344511079601815,2.4342589491220337,2.1975243909353837,1.965960362067307,2.20972599909755,2.029719429608097,2.0652912420914613,2.1344169868344993,1.8951364136044488,2.276636377663009,2.574842561193784,2.290650689792187,2.1552593384043357,1.696484801888225,1.7784499195509633,2.3331551335557434,1.722383749716048,1.62181957574393,2.5253185291421114,2.2044955833146203,2.2794322589989027,1.9562270824650732,2.4176649860879804,2.0203030856845534,1.727695995637878,1.8052887573991396,2.1663750267695345,2.1447968373577564,1.9323421185993208,1.743721690655942,1.8230251205729473,2.0955063414479795,2.1612558592953417,2.0747648856155467,1.6554413051212318,2.365811308345516,2.1057423424825648,1.9976609438777986,1.896816931435345,2.082886146300971,2.1348798465567387,1.5850244016056108,1.6761968471610207,2.266590199574338,2.5422278309375024,2.2453524396079936,1.605352627265274,2.1693228612730033,2.243810159719132,1.6181461238943617,2.4755584168193523
Alistar,2.2757952465729017,2.2379241504060743,2.482327114964288,0.0,1.6555801023102137,1.7354634766873613,1.6762768087082804,2.7178213270717824,1.8836748922120863,1.9473715505574847,2.026272858713171,1.503623656581674,1.3610673969404812,1.7535477257584031,1.3733977080871678,1.9782157822704332,2.2442451456058703,2.078616351875938,1.6580491793950132,1.7032118226189374,2.0938306052257896,2.3756998551819244,1.717040119773398,2.1987577574650277,2.0767909632680244,2.041911673839756,2.1867158059010756,1.8283482176138548,1.6502788520154936,2.1881172437399843,1.9455096907526301,1.60693162313784,1.7565235706221556,2.1028322517199243,1.784148705864939,1.4796519012303349,1.7683038266169036,1.8657592140416417,1.9583328468094394,2.1636687957845826,2.184349862533755,1.832586124896078,1.6925384825705736,1.7212915760020788,1.9976544018463598,1.879178097917884,2.0864242038931167,2.1379577660225593,2.6597579656413406,2.0556149876771297,1.6497754960831468,1.7270892364490418,1.9553842082698702,2.3024783316932735,1.9419892184313068,2.625775150996066,1.7464949236801084,2.17048163715785,2.1250145082890475,2.1342269847650504,1.7926836873695564,2.076046534271782,2.02338892947336,1.6148919261655243,2.3039099731512387,1.8372026847064276,1.9428926192885485,1.7124551169424915,2.056090346309756,1.5468723487743357,1.9049990255415497,1.4925147705284172,2.248710860014946,2.118906262671971,2.2573109685284165,1.682650672971,2.0544815537186003,1.8966383125895727,1.5012834726380235,2.5839338684683524,1.7894586394778869,2.102055986540562,1.6438891840337906,1.8357094711028883,1.9091446372385108,1.9834607272507803,1.8464982226531128,1.6542510148570853,2.08772418571945,2.659408366021043,2.1940480028623615,1.9087950117882622,1.610749141766808,1.9775939646313767,2.0635321565413673,2.116131221819222,2.2433460739828206,1.7524993759994094,1.8685484821130733,1.801460989041091,2.561242017548461,2.7034535875091246,1.966151062390741,1.628592590615457,1.9353923097844263,1.7589741084372963,1.6043349203491661,1.7615209668237286,1.864769185150563,2.072539630146711,1.8364571844451467,1.9843439176211581,2.5267455688175553,2.125492629712206,1.444262299806443,1.939766368960124,2.3695436970264394,1.5679555795899702,2.2253773733608506,1.4519341329980315,1.8518077310565453,1.7568493192002013,2.25191569115715,1.6912692206302942,1.8332175407468525,1.9830589250243305,2.0077995957928665,1.8466488256982205,2.1096220420135445,1.942484674627283,1.9422203796498099,1.9649045242347092,1.9319777454007083,1.9286060628542063,2.067502508675409,2.1665417689047635,1.944821278392078,2.494455839226216,1.8841282445520455,2.0081049745616095,2.4460321109290617,2.1017650409254163,2.117683705278816,2.325581704986294,1.6767553981312335,2.3579787314103413,1.8216622078163682,1.565497116933172,2.347933106204255,1.972564176560236
Amumu,2.1526790329903265,1.8764572030180764,2.1162977622404457,1.6555801023102137,0.0,1.9358899969119774,1.4264100691274375,2.935502650789526,1.7439426049806772,2.1245553437143223,2.4739520290689123,2.1921723165400118,1.5230298239820899,1.7709197318124175,2.123331556391631,2.116946568515495,2.6154564336529256,2.344019396363093,1.6202799823336151,2.0470556165408653,2.138571847281044,2.415635585627518,1.6249893267427309,2.4716000712280106,2.255417403908817,2.39815591239492,2.1044204182264252,2.063778283906862,1.578819710319551,2.5126873316945373,2.03547065831489,1.9605244198269094,2.336102735082542,1.8373208463719706,2.2603357384167237,1.9305366313091574,2.1250695975651834,2.083670245907878,1.909015181601671,2.2326233070733243,2.4684829437008613,2.1025517980519046,2.257566359968041,2.050470294088316,1.9312415929888576,2.3625012484738193,2.324817045913953,2.1718762989248996,2.974482439837704,2.4795257945524827,2.0905449479403715,1.7095148426848443,2.225668281901285,2.3470189022058086,1.8163038543756271,2.7201543895287994,2.0060245430272303,2.4015902461999485,2.2984545313629043,2.36319482412231,2.077653113210692,2.406884307173614,2.4529625580611607,1.9266641839421987,2.0999291465586496,2.143634192000847,2.378968091218973,2.249695863580123,1.8682525422791918,1.4542081164887555,2.1232068712449683,1.7965526291911538,1.892941623181542,1.9989654748364394,2.25555922156771,1.700589020145672,2.556535488723595,1.8052252479686304,1.9382732861066758,2.5922031397260117,1.979479110148989,2.123544388932969,1.5985509097706325,1.9979025374766493,2.2385966023420627,2.3306532810426535,1.932771074749112,1.8785369950703643,2.4286199689029737,2.7976495708514797,2.2723970698584646,2.6310833040564123,1.5748068611324741,2.376659453633812,2.4106936981617144,2.4577347986745623,2.4766033874778883,2.1290938422295422,2.0677374454569035,2.0177304166685355,2.9870437983334504,2.872867201397716,2.0110673152525687,2.2206378568615714,1.952130694570684,1.7887579292383744,1.9920169586559238,1.7935872252206932,2.0272228858142265,2.1948530375041746,1.9658746814614851,2.30465449657245,2.704426392636324,2.387980930266977,2.0114000655973108,2.2490677078547265,2.4648308821363965,2.0710079931404217,1.8982121797962999,2.0902594261310714,2.0317264251376437,2.1156176655107037,2.194315257247676,1.9145288017226796,1.9142301820960348,2.131945889923912,2.2208358900503025,2.0479248752288775,2.364798674554418,1.6854102984030293,2.0143200705695934,2.038686876960798,2.4278620585982162,2.1893693550377447,2.1182842367833254,1.932570737180018,1.9754479790385002,2.71099602052516,2.0675925239822397,1.9957059460422726,2.757625168048094,1.8629227767787742,2.2677310694945056,2.5906238815935976,1.9564637471848378,2.667084407352114,1.875225079947392,1.8565825255088724,2.495327744498737,2.232014967298778
Anivia,2.114944177127554,1.6244504049450625,2.0147014277066186,1.7354634766873613,1.9358899969119774,0.0,1.7155859213823468,2.7839950970208136,1.8773004713253387,1.6991743975557339,1.9502571627657972,1.992393498368012,1.9536844063433687,1.8468633627450455,2.2678058564444363,2.0118803992652206,2.4502419332295036,1.7955880723308335,1.9133513310463615,1.7529931692867309,2.5190394009070936,2.320138765311812,2.1504740915473226,2.385904106041738,2.2598236313706264,2.1835042782313567,2.28650397144154,1.9932970351408286,1.8294814316043984,2.418901016071317,2.1153416201319737,1.9149387306423356,2.0431433640095507,2.5272679693523226,2.1461194472264946,2.0515986115399056,2.1706407342209295,2.346245742754356,1.877565965087379,2.3078192593853135,2.318489274477172,2.038146261814752,2.116140312826035,2.319440589152951,2.497095968207441,2.0557974802576946,2.224477805705128,2.1685562627614177,2.732684932277896,2.1256232780561892,1.8967602664457295,1.6450277136916038,1.9898862097752952,2.258118049881061,1.9050438003928307,2.9785697470891987,1.8481403337568072,2.5898273714974733,2.1644252844420855,2.380356857422722,1.8113772497105718,2.0210456825844783,2.6858285220865037,2.2510905872252196,2.3074963138950344,1.7209896565630893,2.254764848559758,2.112172708861294,1.9213622791864369,2.0094868060724638,1.8240678952601515,1.9426256309128953,2.5562930013772998,2.1439179428615125,2.4936501029862965,1.9044679643700384,2.4153053146986405,2.2659318475421384,2.269109256685122,2.377393433073042,1.8281005342128716,2.417851213062896,1.9874396029993768,2.3866724561147468,1.785914068373888,2.4028277290156828,2.2536970644097476,2.089614122260422,2.5721815557272047,2.593245240792093,2.156120834436275,2.579378753092143,2.127919465621274,2.381858967490018,2.600519917482415,2.585016336905914,2.4506689891292437,1.9096898915474532,1.9738042853274964,2.275206703176343,2.8327977737455816,3.1626429185517146,2.217873114243289,2.3547354013747137,2.1820319165832576,2.0290084800576134,2.1699696636710395,1.8400153018868934,2.184203909196046,2.2638328881416228,2.122388011048312,2.056361176134269,2.6856970699406677,1.8640308428191084,2.0985395501846513,1.770332788772193,2.4460305157570525,2.218814800316482,2.3150012408234337,2.1752368223515757,2.11699898516708,2.3535230250733665,2.694423361868214,1.7297896560463966,1.9732233244028152,2.444963336060423,2.3228858818450098,1.9247355240226593,2.2902205014979318,1.79765566081006,1.7697252082558395,2.437770949862629,1.869598938132202,1.9953240667282799,2.5892884169828347,2.598702032259075,2.3383188698072455,2.4162720644810065,1.7649372554235903,2.581285480658173,2.7971360068703532,2.1195547848870295,2.3684821925903163,2.6133979198231754,2.209430365631479,2.6234851567911917,1.716034657458685,1.6899005153322366,2.074483150356837,1.9935452944803953
Annie,2.0544365393557866,1.4332366984029103,1.7655903482816946,1.6762768087082804,1.4264100691274375,1.7155859213823468,0.0,3.12137411322302,1.6489854179697192,2.254172894050091,2.5925230613649846,2.4570974885064363,1.869904378187813,1.8812004877986306,2.5410192323836567,2.078033326090161,2.912370593579122,2.3230310461214665,2.0511476862916354,2.2258160157638445,2.5472116020205906,2.5539874476426694,2.180825052660359,2.603911163817956,2.529764724907648,2.69774966519599,2.2843532591221294,2.1752340996105173,1.8831205628936707,2.6839422096914127,2.2904046421062723,2.3287181520002918,2.6027090192734628,2.1905633966397917,2.5407603493028432,2.4764817676411264,2.455087226353064,2.688936210616682,2.0735633571712193,2.5347185695671586,2.5924511664290923,2.467779990130304,2.3491304480379704,2.6904306316689235,2.3838152792774525,2.5682315944107867,2.4674691666310586,2.1414784258110022,3.106423828284131,2.5327747569426564,2.027897259909014,1.9354889710603342,2.430701916809681,2.2803205490900935,1.8104303140202274,3.3183759532254924,2.199247466902108,2.900778513602247,2.4956981574390227,2.7470733668682894,2.2850828765557254,2.3269492781370835,3.0048731885747846,2.2647168043280703,2.2227654959520513,2.189426232006664,2.5228394858943815,2.3276101087098096,1.7673068883983887,1.9263965340394873,2.2687123736559998,2.22975853950462,2.2114780604097417,1.9531838423517285,2.658550485286011,1.7376857112849131,2.682914968663666,2.172643180807551,2.495980348155213,2.649829893311789,2.0670725863798407,2.732785025881455,1.972518053439914,2.5476066556749957,2.22990751912473,2.8375993321835633,2.361293009800039,2.0923517210428297,2.8169087955055954,2.9378216336336695,2.3098986961765293,2.9131527594991558,2.2608246815333097,2.8626370320601495,2.8751706248190607,2.840041837541033,2.5965544937394616,2.44936979382845,2.1072018040104528,2.6087335932534974,3.174231859895857,3.3722990602336047,2.399753561830537,2.73787141878957,2.3588492708313757,2.23196748859553,2.4603555720522734,1.737006226339305,2.5954316836710083,2.247690430724231,1.9561888008395547,2.613129686614572,3.0898992836172705,2.30670131464471,2.4120557579325284,2.2935564209964183,2.6874394215248016,2.4427030665569234,2.081118630363323,2.473118629352806,2.0629165709097403,2.703071834151761,2.596819083176223,1.9677003206003523,2.015936817692955,2.636892135852558,2.660025738423454,2.1659221714798935,2.3965739138291107,1.7053630314858568,2.22279938514306,2.535686111661117,2.5789810751002755,2.3440337649854084,2.7612775942628387,2.371669842507533,2.469295185127554,2.6618591183915514,2.2925257018597045,2.5382153854956897,3.0205073578211463,1.9171031557253095,2.6353210281812,2.814575738445652,2.6349665247332195,2.9020728371618203,2.019381507393502,1.9948287760537315,2.468263983088414,2.218065487895057
Aphelios,2.0739109228173387,2.358653886162071,2.0338133005496255,2.7178213270717824,2.935502650789526,2.7839950970208136,3.12137411322302,0.0,1.3798962826350119,1.516942068884666,1.5638229515886415,1.9426250659682813,1.9380152083930784,1.8486839358346903,2.121608704872965,1.509049970252155,1.6335290944168384,1.670904494439452,1.8809669886354563,1.6481233337043681,1.8159502151312716,1.835799256396066,1.9003686367464376,1.5291808776611229,1.6755597719300874,1.8480971100439176,1.7063055603161494,1.4578413942409134,1.730024995781537,1.7336423537429362,1.8511198227661882,1.8071215029575474,1.8089427505348978,1.8578154398990032,1.8584511459957889,1.9667413317906457,1.7555627975209918,1.950887944137582,1.8003390408372781,1.8298236457487291,1.6354639984308235,1.6621269382971684,2.168685415813967,2.0012460459851558,1.8506326812564677,1.7626383963753718,1.4621639389668322,1.6249236011221109,1.3376351923484102,1.4245317586241517,1.9015351772806794,1.5991107289595556,1.679873558263438,1.7071751292332558,1.4878709919989708,1.7988080319100894,1.7648176924099555,1.9055646536242778,1.577268891027278,1.6668024488418645,1.5896549830623066,1.7501048572418774,2.0143735835550856,2.152162089569423,1.2369350595892759,1.8047545853299516,1.5269107773400532,2.100444028004808,1.8108471170892648,1.8924274777128942,1.9604427257402242,1.9330267996738213,1.7162557843766348,1.553668143643365,1.594033013691875,1.9027090303901846,2.2780630212932023,1.9014258084680213,2.088496956229186,1.619152751014201,1.7459419462761867,1.93855974919922,1.6911350542653323,1.8753382777039866,1.8894161625208383,1.7260422740422663,1.8033473849834158,1.8136975686999683,1.620284262395713,1.2841897666690159,1.7158491373380018,1.9753143599330831,1.985920580227056,1.7483753116976681,1.9741659877671276,1.8786022728879272,1.7694185228695354,1.780829530495471,1.5106466531745872,1.9885880364856936,1.335626164323653,1.5146626690035847,1.9338995028185213,1.9924706671966586,1.8860741453037033,1.8183751771121088,1.8872019543053364,1.5020196001111712,1.843788754475702,2.096496262151016,1.9142388208139238,1.7905048534621888,1.4572230668435417,1.6858768968554851,1.954507214597195,1.5332555776690784,1.7803578247020728,1.983358519051183,1.995365856227921,1.954704226348083,1.571873387185564,2.018558142517792,1.9626314676832557,1.606615480578495,1.4956219841220217,1.9450586824668648,1.7840271150103646,1.4703034628099938,1.544941313825932,1.688578495680904,1.8256611620788978,2.049314268497951,1.7410737886298817,1.6543884582956991,1.998897949288646,1.9146307340014939,1.9241786794900897,1.3581403707594655,1.824965904550049,2.025673694456139,1.799417903670053,1.1861351328386058,1.8256901421223124,1.7966739751958596,1.9230307302193865,1.832895547715619,1.8423858053243847,1.8751005916424628,1.4877900444065852,2.036836921736656
Ashe,1.990543244848932,1.535698631787184,1.81303475945261,1.8836748922120863,1.7439426049806772,1.8773004713253387,1.6489854179697192,1.3798962826350119,0.0,2.093495889482098,2.453918594516333,2.513082775788754,1.9386736037872192,1.9614646755662082,2.525169174731032,1.539194677975323,2.7017479681989456,2.2981708161195096,2.1601711979090075,2.040129197356946,2.478045617369735,2.5686688139049356,2.2397426514954577,2.2468251722477297,2.5332523001321667,2.655178475403514,2.3005677351317813,1.861195017261392,2.0373755136365963,2.5349185061569086,2.5350556960788952,2.320228566069711,2.5872477724172582,2.029702113469108,2.527702243473939,2.595768471298837,2.343166344170509,2.7025272422922604,2.0980731351249617,2.486087398326883,2.427494662866137,2.3772464986523643,2.337184531708106,2.6520769636773105,2.3780004880272463,2.523443387968525,1.9248663785180447,1.6307094252799803,2.30171571804612,1.999951708596428,2.1222314221838854,1.9804915370486718,2.500934220284475,2.3504559810755006,1.6452582324673874,3.1035443934882108,2.2493075427492166,2.906006762713135,2.2146344747667626,2.6126555210757956,1.9553512599069425,2.4530224906040226,2.983163621578375,2.30228211153875,1.9143835923032466,2.2632295997530463,2.0519664594946114,2.4364992788892974,1.6535043935412828,2.066186045626962,2.3956556044293262,2.312426732305966,2.012968615661802,1.4122445850178074,2.4795439061944986,1.7065803185500297,2.5683698082289688,2.1687795770897496,2.5371430503847456,2.4716393075807424,2.106848815300863,2.600045832128014,2.051354054242563,2.4771425110446454,2.3310677313629897,2.658390582101666,2.327093303358415,2.1007751668705437,2.645201237024275,2.6853977540307397,2.0641298467029023,2.7845780337609174,2.372161648364251,2.693768782325325,2.8400180791163616,2.9136854826332432,2.543261383232948,2.4151632915706833,2.080072411213445,2.51768798196177,2.5969607264804617,3.0186747499591844,2.589092658234663,2.691834849463725,2.3996902640408337,2.2391662642681944,2.4410845019972185,1.2739858752514068,2.5098531415199274,2.22876358042519,1.9017906174134722,2.570208132001528,2.9013022569436395,2.3271858862023724,2.4827640815644934,2.1820094409812323,2.618073385170189,2.4154604564282542,2.051858178732345,2.448506799147342,1.6422253002375404,2.693782360145946,2.569341228431713,1.9421670809569083,1.7033337218771156,2.680092647751972,2.4808690109672935,1.6584892405639777,1.9405766680355299,1.8053884819484833,2.269447555410345,2.5851336733498558,2.5464162912905777,2.454897301055918,2.6933898703077066,2.2593875233406293,2.5783771857801048,1.93489261931882,2.3062305346321392,2.4413621176075697,2.855317690360628,1.5941619173672166,2.5806387771315697,2.6583169216997975,2.696273300757842,2.8743321520689116,2.0790967820709327,2.1233322262393752,2.401049882633965,2.2644139675035375
Aurelion Sol,1.7863515047295362,1.7913515212316455,1.8705275685839804,1.9473715505574847,2.1245553437143223,1.6991743975557339,2.254172894050091,1.516942068884666,2.093495889482098,0.0,1.7633226882326447,1.9991636274519786,2.1610951883775513,2.062789252687281,2.32503128086176,2.249924623747927,2.2246412475220403,2.017232707547743,2.056110746052517,1.9770055039565682,2.374997399855731,2.382660395628359,2.2477157767966776,2.2978562867416232,2.1700426312152943,2.329768976148978,2.1891986836976733,2.1904413921992076,1.9033006843006606,2.345024167800251,2.278899762564714,1.8805362609431868,2.095152333705367,2.3901714905239126,2.0593835828448936,2.3137842998515366,2.258537903532706,2.3279300175964335,1.9591685300565658,2.055304200339953,2.3243826126363913,1.7783460443669632,2.4561929420499755,2.498579954229319,2.5656410799855527,2.1270513755879925,2.0556309420520327,2.2899102722458897,2.602446958053611,2.0763395640502154,2.1454861149075284,1.7240722248241414,2.1142485640472297,2.2367256365409793,1.841395350036888,2.642109190798895,1.9998335100781213,2.5476234179003163,1.9038054564535591,2.010787256093222,1.9548006505994566,2.273159682467866,2.836775627992485,2.4939914505642617,1.9562617266504556,1.9309466472898056,2.3455801662981832,2.3958188498388875,2.13813679314402,2.2153422937353255,2.0110847157533436,2.023208851672368,2.40479045727742,2.188343556137002,2.216643949573192,2.154477917828341,2.5906975177608835,2.259640873930409,2.3640621626095997,2.216391371366769,2.0151029874361512,2.4097334738899465,1.9305267499266932,2.4156093513066073,2.1872530059743913,2.099094843848304,2.1891858917663596,1.9965022897705418,2.3427604796605945,2.2553453187924863,2.1009644715109967,2.471609030690801,2.234014023664874,2.131955109808138,2.597146608568481,2.4332531360658565,2.4316062613032297,1.9830517323490098,1.9582912310558829,2.3031940598534364,2.6402771390336266,2.7122053134621966,2.3085923032447435,2.365907076448923,2.245625446597247,1.9860083470682919,2.0624287580511305,1.981215067347266,2.0574402305086292,2.3768181107003645,2.23166248099606,1.9996143135526312,2.405760922276029,2.0767333797909284,2.0373503212342947,1.6214232875993289,2.297038016814032,2.18164650508906,2.355897115442059,2.344508860533418,2.310454491471248,2.3691946309360596,2.663577311130306,1.8538506099860321,2.016953364567011,2.406315470343031,2.1101769372782373,1.9755979503568364,2.4648204618323195,1.9295182740573311,1.8385117701479063,2.4975136629035264,1.9795207529457322,2.1060618853116098,2.4693123986508154,2.375932131773021,2.410842987333076,2.2916952029141227,1.9615140239708462,2.623103194567907,2.6626601421672054,1.846113366523617,2.064073006958886,2.521937575212909,2.1918131283154025,2.5635816817374177,1.8859436833584693,1.9127633701704814,1.9505730344636898,2.1734320569164693
